datetime,forecast,Номер скважины
1992-04-11,5.894925731490982,0
1992-04-12,5.880715381979778,0
1992-04-13,5.8665392880372496,0
1992-04-14,5.852285266081514,0
1992-04-15,5.838177705976724,0
1992-04-16,5.824104153655743,0
1992-04-17,5.809953237007495,0
1992-04-18,5.795947722790315,0
1992-04-19,5.781865218261043,0
1992-04-20,5.767927413219797,0
1992-04-21,5.754023206749606,0
1992-04-22,5.740042566870479,0
1992-04-23,5.726205579807409,0
1992-04-24,5.712401948282868,0
1992-04-25,5.698522436224231,0
1992-04-26,5.684785537880701,0
1992-04-27,5.671081753801125,0
1992-04-28,5.657302638063118,0
1992-04-29,5.643665104455523,0
1992-04-30,5.630060445582547,0
1992-05-01,5.616380999956562,0
1992-05-02,5.60284211233817,0
1992-05-03,5.589335861657683,0
1992-05-04,5.575755365188075,0
1992-05-05,5.5623144100111555,0
1992-05-06,5.548905855695507,0
1992-05-07,5.535423592641609,0
1992-05-08,5.522079861519819,0
1992-05-09,5.508768296890306,0
1992-05-10,5.4953835566887035,0
1992-05-11,5.482136346359751,0
1992-05-12,5.468921069849376,0
1992-05-13,5.455633147076454,0
1992-05-14,5.4424817593650445,0
1992-05-15,5.429362074481535,0
1992-05-16,5.4161702688163045,0
1992-05-17,5.403114010597334,0
1992-05-18,5.389985980262079,0
1992-05-19,5.376992842073625,0
1992-05-20,5.364031025235654,0
1992-05-21,5.3509979554391585,0
1992-05-22,5.3380988020581,0
1992-05-23,5.325230743467087,0
1992-05-24,5.312291947320024,0
1992-05-25,5.299486098914909,0
1992-05-26,5.2867111203782065,0
1992-05-27,5.273865915959807,0
1992-05-28,5.261152697616687,0
1992-05-29,5.248470125847299,0
1992-05-30,5.235717836169413,0
1992-05-31,5.223096577856275,0
1992-06-01,5.210505744437373,0
1992-06-02,5.197845697408788,0
1992-06-03,5.18531573394024,0
1992-06-04,5.172815975289932,0
1992-06-05,5.160247503680954,0
1992-06-06,5.147808174683171,0
1992-06-07,5.135398832019534,0
1992-06-08,5.122921273426818,0
1992-06-09,5.110571923302733,0
1992-06-10,5.098252342609086,0
1992-06-11,5.0858650394207325,0
1992-06-12,5.073605017315487,0
1992-06-13,5.061374549305928,0
1992-06-14,5.049076848666814,0
1992-06-15,5.036905508433455,0
1992-06-16,5.024667260604373,0
1992-06-17,5.012554762296018,0
1992-06-18,5.000471462461446,0
1992-06-19,4.988321739001797,0
1992-06-20,4.976296855463953,0
1992-06-21,4.964300959195108,0
1992-06-22,4.952239119771071,0
1992-06-23,4.940301217249429,0
1992-06-24,4.928392092319734,0
1992-06-25,4.916417501229292,0
1992-06-26,4.90456595055375,0
1992-06-27,4.892742969309788,0
1992-06-28,4.880854995449223,0
1992-06-29,4.869089172000732,0
1992-06-30,4.857351711329162,0
1992-07-01,4.845549728159793,0
1992-07-02,4.833869011837435,0
1992-07-03,4.822216453132161,0
1992-07-04,4.8104998386473214,0
1992-07-05,4.798903613835627,0
1992-07-06,4.787335342965186,0
1992-07-07,4.775703479657446,0
1992-07-08,4.764191135193952,0
1992-07-09,4.752706542469151,0
1992-04-11,11.219147503873272,1
1992-04-12,11.212085204273722,1
1992-04-13,11.205036224767852,1
1992-04-14,11.198000523536875,1
1992-04-15,11.190978058945571,1
1992-04-16,11.18396878954128,1
1992-04-17,11.176972674052836,1
1992-04-18,11.169989671389583,1
1992-04-19,11.163019740640337,1
1992-04-20,11.156062841072389,1
1992-04-21,11.149118932130508,1
1992-04-22,11.142187973435938,1
1992-04-23,11.135269924785424,1
1992-04-24,11.128364746150218,1
1992-04-25,11.121472397675122,1
1992-04-26,11.114592839677513,1
1992-04-27,11.107726032646383,1
1992-04-28,11.100871937241385,1
1992-04-29,11.094030514291896,1
1992-04-30,11.087201724796067,1
1992-05-01,11.08038552991989,1
1992-05-02,11.073581890996271,1
1992-05-03,11.06679076952412,1
1992-05-04,11.060012127167411,1
1992-05-05,11.053245925754306,1
1992-05-06,11.046492127276217,1
1992-05-07,11.039750693886939,1
1992-05-08,11.03302158790174,1
1992-05-09,11.026304771796486,1
1992-05-10,11.01960020820676,1
1992-05-11,11.01290785992699,1
